prob_bin,n,actual_up_rate
<0.30,940,0.5670212765957446
0.30-0.40,2131,0.5119662130455185
0.40-0.50,4297,0.5131487084012102
0.50-0.60,4265,0.5493552168815944
0.60-0.70,1627,0.5906576521204672
>0.70,1131,0.47303271441202477
